district_no,year,Field_ha,Harvested_t,Yield_dt/ha,kreisYield,kreisField_ha,precip_total_peak_growth,temp_mean_peak_growth,heat_stress_days_peak_growth,temp_mean_early_growth,solar_rad_peak_growth,avg_elevation,avg_soil_pawc,national_campaign_start_day_of_year,national_campaign_end_day_of_year,national_campaign_duration,producer_price_index,fertilizer_price_index,energy_price_index
3151,2018,103400.0,7202700.0,696.3,75.15,11159.715623783262,98.215004,19.136011,12,17.674286,16880180.0,73.6892495743334,42.563852771214265,259.40162601626014,17.297560975609755,122.63577235772358,95.4,96.925,109.125
3151,2019,103400.0,7668800.0,741.7,74.67,10409.704718336652,167.38182,17.967564,9,15.982618,14868786.0,73.6892495743334,42.563852771214265,258.0,15.0,121.0,90.0,102.65,110.55
3151,2020,99300.0,7861900.0,791.6,77.81,9760.653095299833,185.77637,17.794249,6,15.039328,14820814.0,73.6892495743334,42.563852771214265,269.0,8.0,105.0,100.0,100.0,100.0
3151,2021,97600.0,7966100.0,816.2,80.22,9592.590039705232,194.92955,17.436302,0,15.524002,13361773.0,73.6892495743334,42.563852771214265,257.0,22.0,129.0,105.1,114.25,118.325
3153,2017,102600.0,8475800.0,826.2,85.69,10641.241817185619,355.635,14.889756,0,14.304488,13703720.0,387.65537837221,68.64159594833163,254.0,24.0,135.0,96.7,94.2,101.7
3153,2018,103400.0,7202700.0,696.3,63.27,9395.545010203154,110.627495,17.292974,2,15.419658,17169810.0,387.65537837221,68.64159594833163,259.40162601626014,17.297560975609755,122.63577235772358,95.4,96.925,109.125
3153,2019,103400.0,7668800.0,741.7,79.57,11092.811094657121,167.03334,16.0621,2,13.953167,15139928.0,387.65537837221,68.64159594833163,258.0,15.0,121.0,90.0,102.65,110.55
3153,2020,99300.0,7861900.0,791.6,79.79,10009.028537128564,207.82501,16.062916,2,13.008805,14997075.0,387.65537837221,68.64159594833163,269.0,8.0,105.0,100.0,100.0,100.0
3153,2021,97600.0,7966100.0,816.2,85.36,10207.223707170762,260.13004,15.399467,0,13.69239,13576121.0,387.65537837221,68.64159594833163,257.0,22.0,129.0,105.1,114.25,118.325
3154,2017,102600.0,8475800.0,826.2,78.37,9732.222210442722,293.3538,16.520273,0,15.718594,13809555.0,120.71246267567484,47.3940791687049,254.0,24.0,135.0,96.7,94.2,101.7
3154,2018,103400.0,7202700.0,696.3,53.7,7974.407571485844,84.06375,19.077482,12,17.359377,17178296.0,120.71246267567484,47.3940791687049,259.40162601626014,17.297560975609755,122.63577235772358,95.4,96.925,109.125
3154,2019,103400.0,7668800.0,741.7,68.84,9596.947539979847,147.41626,17.858456,9,15.750213,15293446.0,120.71246267567484,47.3940791687049,258.0,15.0,121.0,90.0,102.65,110.55
3154,2020,99300.0,7861900.0,791.6,69.86,8763.38806371477,174.54874,17.77447,5,14.687617,15217455.0,120.71246267567484,47.3940791687049,269.0,8.0,105.0,100.0,100.0,100.0
3154,2021,97600.0,7966100.0,816.2,76.06,9095.143336075542,197.58624,17.226381,0,15.303548,13657848.0,120.71246267567484,47.3940791687049,257.0,22.0,129.0,105.1,114.25,118.325
3155,2017,102600.0,8475800.0,826.2,88.15,10946.732012894297,365.57532,15.893147,0,15.390724,13849223.0,231.4685232956745,58.19983547821087,254.0,24.0,135.0,96.7,94.2,101.7
3155,2018,103400.0,7202700.0,696.3,83.05,12332.859381972054,115.90235,18.250153,9,16.383282,17409952.0,231.4685232956745,58.19983547821087,259.40162601626014,17.297560975609755,122.63577235772358,95.4,96.925,109.125
3155,2019,103400.0,7668800.0,741.7,81.1,11306.107575426577,164.82704,16.95048,4,14.825593,15158694.0,231.4685232956745,58.19983547821087,258.0,15.0,121.0,90.0,102.65,110.55
3155,2020,99300.0,7861900.0,791.6,88.53,11105.392861160444,203.95412,16.910269,2,14.028285,15023238.0,231.4685232956745,58.19983547821087,269.0,8.0,105.0,100.0,100.0,100.0
3155,2021,97600.0,7966100.0,816.2,85.12,10178.524858884433,250.49939,16.34048,0,14.6795635,13664557.0,231.4685232956745,58.19983547821087,257.0,22.0,129.0,105.1,114.25,118.325
3157,2017,102600.0,8475800.0,826.2,84.09,10442.549006968593,332.90427,16.695044,0,16.010084,13807135.0,73.38944065927016,45.43448187787549,254.0,24.0,135.0,96.7,94.2,101.7
3157,2018,103400.0,7202700.0,696.3,69.87,10375.639795525436,103.32286,19.157343,12,17.513088,17155536.0,73.38944065927016,45.43448187787549,259.40162601626014,17.297560975609755,122.63577235772358,95.4,96.925,109.125
3157,2019,103400.0,7668800.0,741.7,69.48,9686.169597295175,146.12715,18.085793,9,15.861959,15113266.0,73.38944065927016,45.43448187787549,258.0,15.0,121.0,90.0,102.65,110.55
3157,2020,99300.0,7861900.0,791.6,79.48,9970.141473003865,178.73001,17.912767,5,15.009414,15049345.0,73.38944065927016,45.43448187787549,269.0,8.0,105.0,100.0,100.0,100.0
3157,2021,97600.0,7966100.0,816.2,81.71,9770.762056149519,205.17714,17.423786,0,15.519972,13645038.0,73.38944065927016,45.43448187787549,257.0,22.0,129.0,105.1,114.25,118.325
3158,2017,102600.0,8475800.0,826.2,82.78,10279.869268603403,337.06726,16.524563,0,15.776413,13894535.0,130.02412529590924,49.33051719467714,254.0,24.0,135.0,96.7,94.2,101.7
3158,2018,103400.0,7202700.0,696.3,63.9,9489.099512438463,102.60728,18.937078,12,17.110954,17305284.0,130.02412529590924,49.33051719467714,259.40162601626014,17.297560975609755,122.63577235772358,95.4,96.925,109.125
3158,2019,103400.0,7668800.0,741.7,77.95,10866.967762077702,154.05182,17.77711,9,15.585911,15329231.0,130.02412529590924,49.33051719467714,258.0,15.0,121.0,90.0,102.65,110.55
3158,2020,99300.0,7861900.0,791.6,74.97,9404.39741106064,194.0091,17.68932,5,14.633143,15232778.0,130.02412529590924,49.33051719467714,269.0,8.0,105.0,100.0,100.0,100.0
3158,2021,97600.0,7966100.0,816.2,81.17,9706.189647505282,230.54182,17.12999,0,15.278008,13754880.0,130.02412529590924,49.33051719467714,257.0,22.0,129.0,105.1,114.25,118.325
3241,2017,102600.0,8475800.0,826.2,85.45,10611.437895653065,357.01422,16.545612,0,15.920997,13727951.0,65.35178068571408,44.86763110898455,254.0,24.0,135.0,96.7,94.2,101.7
3241,2018,103400.0,7202700.0,696.3,74.81,11109.225892418173,114.14903,18.9071,12,17.380135,16978368.0,65.35178068571408,44.86763110898455,259.40162601626014,17.297560975609755,122.63577235772358,95.4,96.925,109.125
3241,2019,103400.0,7668800.0,741.7,74.78,10425.039759437725,162.20451,18.020483,9,15.687535,14925418.0,65.35178068571408,44.86763110898455,258.0,15.0,121.0,90.0,102.65,110.55
3241,2020,99300.0,7861900.0,791.6,82.52,10351.485585710605,182.18709,17.794092,6,14.988842,14820319.0,65.35178068571408,44.86763110898455,269.0,8.0,105.0,100.0,100.0,100.0
3241,2021,97600.0,7966100.0,816.2,84.76,10135.476586454943,215.1984,17.345615,0,15.32297,13614266.0,65.35178068571408,44.86763110898455,257.0,22.0,129.0,105.1,114.25,118.325
3251,2017,102600.0,8475800.0,826.2,83.6,10381.699333839628,299.13556,16.386196,0,15.828455,13546081.0,37.82531227909938,50.47574318137497,254.0,24.0,135.0,96.7,94.2,101.7
3251,2018,103400.0,7202700.0,696.3,53.63,7964.012626793031,100.83963,18.604012,11,17.21437,16547812.0,37.82531227909938,50.47574318137497,259.40162601626014,17.297560975609755,122.63577235772358,95.4,96.925,109.125
3251,2019,103400.0,7668800.0,741.7,62.66,8735.397049028721,200.88,17.700487,8,15.456642,14622417.0,37.82531227909938,50.47574318137497,258.0,15.0,121.0,90.0,102.65,110.55
3251,2020,99300.0,7861900.0,791.6,77.31,9697.93202413096,196.90517,17.456343,7,14.879917,14363905.0,37.82531227909938,50.47574318137497,269.0,8.0,105.0,100.0,100.0,100.0
3251,2021,97600.0,7966100.0,816.2,81.42,9736.084281136873,232.92517,17.229515,0,14.916596,13647034.0,37.82531227909938,50.47574318137497,257.0,22.0,129.0,105.1,114.25,118.325
3252,2017,102600.0,8475800.0,826.2,86.76,10774.117634018256,385.91635,16.067738,0,15.492173,13856238.0,168.64624754132518,59.42615305944366,254.0,24.0,135.0,96.7,94.2,101.7
3252,2018,103400.0,7202700.0,696.3,78.89,11715.102668799222,135.20091,18.26215,8,16.586773,17239142.0,168.64624754132518,59.42615305944366,259.40162601626014,17.297560975609755,122.63577235772358,95.4,96.925,109.125
3252,2019,103400.0,7668800.0,741.7,83.27,11608.626113511356,171.57092,17.332008,7,15.02464,15060255.0,168.64624754132518,59.42615305944366,258.0,15.0,121.0,90.0,102.65,110.55
3252,2020,99300.0,7861900.0,791.6,88.27,11072.77790415263,204.00272,17.152218,2,14.371564,14911296.0,168.64624754132518,59.42615305944366,269.0,8.0,105.0,100.0,100.0,100.0
3252,2021,97600.0,7966100.0,816.2,86.29,10318.431744280286,256.68002,16.63136,0,14.742994,13753277.0,168.64624754132518,59.42615305944366,257.0,22.0,129.0,105.1,114.25,118.325
3254,2017,102600.0,8475800.0,826.2,85.16,10575.424823801228,368.97995,16.21497,0,15.589729,13908189.0,145.42201172754338,54.37337369926457,254.0,24.0,135.0,96.7,94.2,101.7
3254,2018,103400.0,7202700.0,696.3,71.17,10568.688768391945,114.610664,18.582714,10,16.77063,17324002.0,145.42201172754338,54.37337369926457,259.40162601626014,17.297560975609755,122.63577235772358,95.4,96.925,109.125
3254,2019,103400.0,7668800.0,741.7,77.85,10853.026815622181,154.09267,17.47395,9,15.209286,15154226.0,145.42201172754338,54.37337369926457,258.0,15.0,121.0,90.0,102.65,110.55
3254,2020,99300.0,7861900.0,791.6,83.99,10535.885534947087,192.98334,17.307262,2,14.392389,15060927.0,145.42201172754338,54.37337369926457,269.0,8.0,105.0,100.0,100.0,100.0
3254,2021,97600.0,7966100.0,816.2,86.11,10296.907608065538,236.38266,16.807877,0,14.992322,13757799.0,145.42201172754338,54.37337369926457,257.0,22.0,129.0,105.1,114.25,118.325
3255,2017,102600.0,8475800.0,826.2,83.56,10376.732013584202,390.65335,15.881039,0,15.366236,13801528.0,244.77205326208195,66.78746385962387,254.0,24.0,135.0,96.7,94.2,101.7
3255,2018,103400.0,7202700.0,696.3,65.97,9796.492876925904,132.78,18.160149,9,16.41262,17276632.0,244.77205326208195,66.78746385962387,259.40162601626014,17.297560975609755,122.63577235772358,95.4,96.925,109.125
3255,2019,103400.0,7668800.0,741.7,80.49,11221.067802047904,167.84998,17.054688,5,14.831082,15045382.0,244.77205326208195,66.78746385962387,258.0,15.0,121.0,90.0,102.65,110.55
3255,2020,99300.0,7861900.0,791.6,87.83,11017.583361524023,210.47556,16.903654,2,14.111308,14912426.0,244.77205326208195,66.78746385962387,269.0,8.0,105.0,100.0,100.0,100.0
3255,2021,97600.0,7966100.0,816.2,83.03,9928.605721724323,258.93222,16.396511,0,14.633817,13659712.0,244.77205326208195,66.78746385962387,257.0,22.0,129.0,105.1,114.25,118.325
3256,2017,102600.0,8475800.0,826.2,87.24,10833.72547708336,319.55334,16.52793,0,15.949549,13588253.0,36.69954350209412,45.6912156632667,254.0,24.0,135.0,96.7,94.2,101.7
3256,2018,103400.0,7202700.0,696.3,69.71,10351.879921941865,105.71944,18.805254,11,17.375132,16710044.0,36.69954350209412,45.6912156632667,259.40162601626014,17.297560975609755,122.63577235772358,95.4,96.925,109.125
3256,2019,103400.0,7668800.0,741.7,71.95,10030.510974746514,187.36833,17.951899,8,15.652869,14683693.0,36.69954350209412,45.6912156632667,258.0,15.0,121.0,90.0,102.65,110.55
3256,2020,99300.0,7861900.0,791.6,77.37,9705.458552671225,189.63002,17.70244,7,15.066542,14507581.0,36.69954350209412,45.6912156632667,269.0,8.0,105.0,100.0,100.0,100.0
3256,2021,97600.0,7966100.0,816.2,83.89,10031.443261417002,219.55275,17.355438,0,15.169443,13575263.0,36.69954350209412,45.6912156632667,257.0,22.0,129.0,105.1,114.25,118.325
3257,2017,102600.0,8475800.0,826.2,85.22,10582.875804184367,353.55798,16.388586,0,15.80475,13805511.0,110.06650836686582,54.52129291862677,254.0,24.0,135.0,96.7,94.2,101.7
3257,2018,103400.0,7202700.0,696.3,72.22,10724.612938784127,120.98499,18.636616,10,17.056398,17063628.0,110.06650836686582,54.52129291862677,259.40162601626014,17.297560975609755,122.63577235772358,95.4,96.925,109.125
3257,2019,103400.0,7668800.0,741.7,75.62,10542.143709664091,173.10399,17.796331,8,15.432237,14935939.0,110.06650836686582,54.52129291862677,258.0,15.0,121.0,90.0,102.65,110.55
3257,2020,99300.0,7861900.0,791.6,85.25,10693.942634292645,190.479,17.528894,5,14.80398,14762026.0,110.06650836686582,54.52129291862677,269.0,8.0,105.0,100.0,100.0,100.0
3257,2021,97600.0,7966100.0,816.2,83.77,10017.093837273836,225.90703,17.059004,0,15.033354,13753653.0,110.06650836686582,54.52129291862677,257.0,22.0,129.0,105.1,114.25,118.325
