district_no,r2,mae,avg_deviation,name,data_point_count,is_low_data
09475,-0.43440294735973084,86.02337428122758,145.66549918428063,Hof,16,False
09476,-0.6807060920208621,116.51244610922677,139.6500587250505,Kronach,7,True
09477,-0.26340969942139725,79.54772651447968,127.96944183461807,Kulmbach,17,False
09478,-0.876869510218975,90.47480054743149,124.68150741913739,Lichtenfels,17,False
09479,-0.6718303004157593,62.49398040175437,136.1664161682129,Wunsiedel im Fichtelgebirge,4,True
09562,-0.1720628040414387,81.39729808807373,120.86376770103679,Erlangen,17,False
09564,0.27428268600530414,57.86777236601884,118.1885633468628,Nürnberg,17,False
09565,0.030922050418601743,55.83589727906618,120.39891278042512,Schwabach,17,False
09571,-0.14877637089129458,96.34063389864833,129.10629578882998,Ansbach,22,False
09572,-0.6311506922965935,85.81361515942741,120.22192380007576,Erlangen-Höchstadt,17,False
09573,-0.11397842611435016,100.10219376910817,133.60343431342733,Fürth,22,False
09574,0.1817391269025569,48.78936002058141,127.04780221686644,Nürnberger Land,17,False
09575,-0.16218425365121036,97.65030605489557,128.65616604956713,Neustadt an der Aisch-Bad Windsheim,22,False
09576,0.1305004063805172,54.521597419314915,123.25205602910783,Roth,18,False
09577,-0.26490015296147074,83.88651943470303,120.41896668547078,Weißenburg-Gunzenhausen,19,False
09671,-0.21983271123025672,73.45681540320896,126.4179661694695,Aschaffenburg,17,False
09672,-0.2629532216163606,88.32665414376692,134.21238498254255,Bad Kissingen,22,False
09673,-0.10915002411697095,71.98062230413609,131.27998316287994,Rhön-Grabfeld,22,False
09674,-0.16999314793173714,89.55226305007936,131.36259921843356,Haßberge,22,False
09675,-0.14107891599150157,111.27293397686695,131.69094811786306,Kitzingen,22,False
09676,0.1876246813706547,58.67452025368097,136.88840016864594,Miltenberg,21,False
09677,-0.18507024501300062,89.85687658114865,135.32127775929192,Main-Spessart,22,False
09678,-0.35148057810297795,107.4498766821081,130.83479779416865,Schweinfurt,22,False
09679,-0.11841725512639378,89.5645940364491,131.33650609850883,Würzburg,22,False
09761,-0.3094725011389914,65.75464859289282,118.12591589198394,Augsburg,17,False
09771,0.5847827301126574,56.57974248365924,127.46904143961993,Aichach-Friedberg,22,False
09772,0.39526045907462304,65.30912568742578,126.82431469180368,Augsburg,22,False
09773,0.29368636352887323,67.02316270611503,122.61212408542633,Dillingen an der Donau,22,False
09774,0.46489270465051147,66.54982109763408,126.3277342559939,Günzburg,22,False
09775,-0.4899822827251332,58.98516753543509,128.389201446013,Neu-Ulm,22,False
09777,-0.03362198284320672,79.89733381607954,149.05214152616614,Ostallgäu,17,False
09778,0.28771047063214994,44.499364817002224,125.35586499116,Unterallgäu,17,False
09779,0.3159168102563117,67.39609639167786,121.98781351338734,Donau-Ries,22,False
09780,0.33965319095177837,46.476194729436024,135.2520811898368,Oberallgäu,7,True
12060,-1.1509559476853322,41.47115509986877,127.05211663246155,Barnim,4,True
12061,-0.2530067923103745,84.09042945098875,151.05115679800514,Dahme-Spreewald,5,True
12062,0.23861714964687575,80.62237978839873,145.72071857061238,Elbe-Elster,20,False
12063,0.25710211090386415,97.5899684824262,151.9589974426088,Havelland,21,False
12064,-0.23028474108044916,70.9701255427088,142.0473749864669,Märkisch-Oderland,21,False
12065,-99.0,41.40151410732426,109.9829568862915,Oberhavel,1,True
12068,-0.1934793818323246,85.01746238390605,129.4435969988505,Ostprignitz-Ruppin,9,True
12069,-0.3675142389723858,83.44172707748415,146.64254913330078,Potsdam-Mittelmark,10,False
12070,0.556120595829855,61.13542524814606,136.69254554401743,Prignitz,22,False
12071,-436.6897168058832,20.47347686767578,137.67633950710294,Spree-Neiße,3,True
12072,-0.0904979185397079,60.22404776573178,131.12499068677425,Teltow-Fläming,8,True
12073,0.15971315101601247,70.1480047932538,142.98337152871218,Uckermark,22,False
13071,0.5371690162463919,58.51591166439375,142.5274200439453,Mecklenburgische Seenplatte,22,False
13072,0.7931989952753481,38.472664359623444,134.7708851857619,Rostock,22,False
13073,0.748334999374481,53.13517300955405,129.8581049008803,Vorpommern-Rügen,22,False
13074,0.4387379694009884,53.860793619155906,123.06830008463426,Nordwestmecklenburg,22,False
13075,0.45974879958583703,55.234781932322285,135.51660535552284,Vorpommern-Greifswald,22,False
13076,0.435982396580194,51.23938427486905,127.06548873944716,Ludwigslust-Parchim,22,False
14521,-99.0,95.84922002115479,112.20098876953125,Erzgebirgskreis,1,True
14522,0.634719897146613,52.62411622486723,144.99476517330515,Mittelsachsen,22,False
14524,-0.11427799361178304,97.64907194525222,143.074458360672,Zwickau,18,False
14612,0.37721555176543564,40.8122790305066,116.18309268951415,Dresden,5,True
14625,0.25672116951853563,72.37022425110027,135.38220658627424,Bautzen,22,False
14626,-0.057612426772436054,67.2909345588319,137.03244374015114,Görlitz,22,False
14627,0.43421943729926904,73.22860129572506,143.09057395024732,Meißen,22,False
14628,0.20628373542917589,70.38477669029714,137.5205808877945,Sächsische Schweiz-Osterzgebirge,16,False
14729,-0.03109009178396982,93.38633531766482,136.12933764674446,Leipzig,22,False
14730,-0.160408697154792,106.83585681669756,138.26990525289014,Nordsachsen,22,False
15001,-0.49378879890225336,80.93547839984893,123.55935564637184,Dessau-Roßlau,16,False
15003,-0.07177863840425158,76.945953611933,144.50393132159584,Magdeburg,19,False
15081,0.032761388732707175,74.81969455632294,127.79013641178608,Altmarkkreis Salzwedel,22,False
15082,-0.29866734713731846,99.8454658087956,135.18717569519174,Anhalt-Bitterfeld,22,False
15083,0.0846642153190521,64.17863373187173,133.88949117335406,Börde,22,False
15084,-0.010917587343036717,75.30845734669842,141.20745062015274,Burgenlandkreis,22,False
15085,-0.16040118831424244,72.06771610835948,141.0566958039999,Harz,22,False
15086,0.030869416378430214,85.43064282003701,138.0854312025688,Jerichower Land,22,False
15087,0.18925725999469423,66.61652008103846,140.80385810949585,Mansfeld-Südharz,22,False
15088,-0.33933904614129107,92.12714520079525,137.92602513463828,Saalekreis,22,False
15089,-0.10173078432388372,79.16145937196266,141.71510646830905,Salzlandkreis,22,False
15090,-0.02307510575190186,86.41015291723339,139.616868942976,Stendal,22,False
15091,-0.5072014649082135,111.66448277274712,147.12106836654922,Wittenberg,22,False
16052,0.2956481857612343,75.92173480315643,146.0134356130253,Gera,22,False
16055,-0.6489896792167729,49.15017781999373,132.56266276041666,Weimar,9,True
16061,0.31949930251135283,63.43313510552049,142.14569459483027,Eichsfeld,16,False
16062,-0.1918877817296054,70.94064347657292,137.720133358782,Nordhausen,22,False
16063,-9.414665030139043,124.41976027901858,206.29846687316893,Wartburgkreis,5,True
16064,-0.12972840127862106,56.51572227738122,134.22368184273893,Unstrut-Hainich-Kreis,22,False
16065,-0.20369039460639393,73.25732617053119,135.87795161929998,Kyffhäuserkreis,22,False
16066,0.41475912596925923,47.28583376121517,138.39113240242006,Schmalkalden-Meiningen,20,False
16067,0.0029173958402477496,67.77233645482495,140.72824354605243,Gotha,22,False
16068,-0.2083402343916454,74.91479147564279,137.1684192527424,Sömmerda,22,False
16069,-0.8679651314126888,87.7329108083248,135.92263443768024,Hildburghausen,16,False
16070,0.11596845238037512,71.09343405924344,151.65294496636642,Ilm-Kreis,19,False
16071,0.0165018530657427,66.32796539566733,141.17895175652072,Weimarer Land,22,False
16074,0.26339616250877373,64.17814606926662,142.9486295689236,Saale-Holzland-Kreis,22,False
16075,-0.049965316699342344,81.43611901933492,149.83635629849002,Saale-Orla-Kreis,22,False
16076,0.11481178071267584,75.29470610271802,142.52926489168948,Greiz,22,False
16077,0.319675700266812,64.0998967916315,140.7862606156956,Altenburger Land,22,False
