district_no,avg_elevation,avg_soil_pawc
12064,47.27500580551489,36.64059745746665
12065,53.88068357127079,35.49024694487706
12066,100.572323890461,35.36291181778496
12067,61.99833665354638,33.272002250357275
12068,56.8181698249282,35.8795768976114
12069,70.97111090237965,39.062390266218515
12054,39.09608589925953,38.48189624897841
12070,52.93772890964092,36.17088665928267
12071,90.32668774040548,34.46796217083527
12072,73.20021452604618,35.49446138394157
12073,54.7569700705869,35.820799452742165
04011,5.144077407539261,65.27691119220597
04012,1.8336140618913828,67.98166886584191
02000,15.836805239161954,57.32456973351159
06431,228.5186488360849,52.46739927321287
06432,189.48108460144593,51.889601794889174
06411,152.21192626506163,52.05813671082484
06412,118.71371349661501,50.013130717857806
06631,422.0685416538117,56.59590741324135
06531,240.53761859489617,50.478376292243084
06433,92.41252937833461,43.40426238206409
06632,333.78251212304207,51.39171739102932
06434,376.41009902321633,58.18841328380765
06611,244.886657078461,58.2127097113695
06633,283.1839426580986,55.48021563816635
06532,342.3268028297898,57.55155502071494
06533,252.76395665193334,51.00573453208417
06435,286.82231562732915,55.338006038509
06436,200.47118291396538,52.18293238173818
06534,305.21117841635197,53.051336482909875
06437,352.25027475501656,58.89205211650138
06413,119.44401294409472,47.0242375509929
06438,138.18557178761787,48.50243271549146
06439,355.48616701882975,53.29883018057158
06634,302.2606762770996,50.86215178289449
06535,381.61814459518007,56.02250347734993
06635,381.6702932418669,60.819534064819514
06636,329.5856077347513,57.24082814403981
06440,218.25923939842474,50.50510330848203
06414,209.4923269980455,52.72598136375322
13076,44.7086480808374,41.34521384306508
13071,62.05753027410464,38.64812536384011
13074,41.47393948165326,43.10618084867727
13003,11.023359864104327,45.24495563399487
13072,36.069490168281156,38.63362555388887
13004,49.48171006101654,44.04332677429424
13075,17.711266955122902,41.0799393666064
13073,14.737300532102989,43.14493181361785
03451,7.572987071858092,61.220685596563065
03452,1.3751852773133102,62.776180690327465
03101,79.36886014887196,46.774093627551125
03351,63.23971096729696,45.982047716891806
03453,23.371550966828174,53.732832910953526
03352,4.580134577540752,69.19059351406871
03401,7.263473934305714,60.324728747357234
03251,37.82531227909938,50.47574318137497
03402,-0.7406451670922521,66.12351844524473
03454,21.883429345484306,56.02737782782792
03455,2.1138714023825966,65.95184119332266
03152,256.0761595841896,52.5802528261024
03151,73.6892495743334,42.563852771214265
03153,387.65537837220995,68.64159594833163
03456,26.391213913781556,56.23221386974108
03252,168.64624754132518,59.42615305944366
03353,47.83834153611925,52.692365997490334
03358,64.32476132692005,47.13149378999935
03154,120.71246267567483,47.3940791687049
03254,145.42201172754338,54.37337369926457
03255,244.77205326208193,66.78746385962387
03354,39.92315427805637,43.17562863257
03355,38.40780862308837,48.089519521973926
03457,1.1745174273697248,66.7988873785043
03256,36.69954350209412,45.6912156632667
03155,231.46852329567452,58.199835478210865
03403,5.9297072730492175,62.94520773629449
03458,25.656009353627326,55.306329993290845
03404,82.9330366795336,54.52852037911407
03459,74.81949659993606,51.725908423046015
03356,13.066268613165434,65.84684494632859
03156,363.4832096905363,65.49616015927505
03157,73.38944065927016,45.43448187787549
03241,65.35178068571408,44.86763110898455
03357,27.1948989674917,53.57489479719908
03102,117.49347375132659,52.202526218022896
03257,110.06650836686582,54.52129291862677
03359,12.13256251059729,61.57862618853422
03360,71.241791440513,46.17268689394237
03460,43.655086862573036,50.186611049890075
03361,20.634482190791463,51.58528505388986
03461,-1.2941463345754445,76.75880164297756
03405,0.15573561963268967,67.57856147064457
03462,2.0028753843588403,62.020668095786995
03158,130.02412529590924,49.33051719467714
03103,82.63539670359086,43.886458222687274
05711,131.39287572181576,60.15696629365589
05911,106.75701412601357,65.3797342981093
05314,110.22298582504826,54.81472958953988
05554,52.380458202545015,41.98573116093186
05512,55.519506665564585,48.60656724674964
05558,78.65908101560234,44.84964764980907
05358,172.0221120671608,51.23521929115644
05111,49.2453277694115,51.71185721898933
05913,103.39281419845467,58.59583274542164
05112,30.73405000641996,49.62901067585766
05954,223.74786727357096,72.46822097000445
05113,88.4600768063254,68.05257993831184
05366,400.8587965279651,62.31806896521423
05754,91.19454333545589,48.81886725992208
05513,53.964220857940845,54.38510105184849
05762,230.2836498008996,61.2674786619333
05914,211.23650339977692,73.71671007314643
05915,71.0569164541415,53.60155906672008
05370,72.57404322677954,43.13673419738953
05758,108.55503905963828,55.57771491542452
05916,61.283810396448025,59.497273247849066
05958,454.40438630423984,77.08053516302904
05315,53.16270996126474,47.118091489274754
05154,25.55769146043866,43.19994338091747
05114,36.23895025202297,41.39300188615856
05316,73.05257204365415,58.00587528100501
05766,195.0615252904903,67.58305823046362
05962,351.5929048164032,75.76378415447536
05116,67.46764971525674,41.93910841738373
05117,70.71970987239995,55.06516754743971
05515,60.76130917408455,43.77141509965189
05158,122.92986651013305,63.05020750921504
05770,63.55877431019626,51.01051030958186
05374,304.45883212656963,71.65436488492263
05119,46.00232170290152,49.32237312985359
05966,428.2743113921983,74.20634241322152
05774,229.62808598551666,66.12083106010111
05562,63.7863936489753,49.47806873019625
05120,285.87759449184773,74.68475596174541
05362,87.39634517987913,46.73351601428842
