year,district_no,kreisYield,Super_Ensemble_pred,Predicted_Best_Model,Prob_Hybrid_XGB,Prob_Native_Ensemble,Prob_Robust_Linear,Prob_Statistical_Trend,Prob_V31_Solar_Gated
2022,1058,846.7,827.831505252693,Hybrid_XGB,0.38070962,0.11215013,0.34895128,0.14654931,0.011639631
2023,1058,777.7,828.6798469040227,Hybrid_XGB,0.34208322,0.2828496,0.23754494,0.1262602,0.011262053
2024,1058,725.3,828.6417275891525,Statistical_Trend,0.3064874,0.15437181,0.09287928,0.4365101,0.009751453
2000,1059,531.9,502.40759700602644,Statistical_Trend,0.10841755,0.018109906,0.17435862,0.65193456,0.04717936
2001,1059,517.8,533.9986660502138,Robust_Linear,0.19053684,0.020748373,0.6262786,0.15073217,0.011704048
2002,1059,536.4,526.0280378457333,Statistical_Trend,0.3555668,0.025300412,0.10151905,0.50982374,0.00779001
2003,1059,545.5,533.2492537280574,Statistical_Trend,0.34120765,0.022542592,0.10436229,0.5241111,0.0077763544
2004,1059,554.6,545.5898767167024,Statistical_Trend,0.23403221,0.024411045,0.12108776,0.60255617,0.017912831
2005,1059,533.8,558.0550132256416,Statistical_Trend,0.27515242,0.055825192,0.3031405,0.35744828,0.00843364
2006,1059,532.4,554.5276437130723,Statistical_Trend,0.3471743,0.05190992,0.20449956,0.38911396,0.0073022814
2007,1059,594.3,569.2849338048549,Robust_Linear,0.21979074,0.12029417,0.36342406,0.07832947,0.21816154
2008,1059,535.5,566.786765451837,Native_Ensemble,0.33152583,0.4288829,0.11244994,0.12152935,0.005611883
2009,1059,680.1,574.4790183537018,Robust_Linear,0.19633637,0.1686393,0.53825593,0.08916608,0.007602274
2010,1059,624.0,592.7162882958385,Statistical_Trend,0.15708578,0.05121203,0.19610982,0.58748215,0.008110315
2011,1059,754.0,630.053621079792,Statistical_Trend,0.121428676,0.07118273,0.10434538,0.6846043,0.018438872
2012,1059,676.8,676.8071635553607,Robust_Linear,0.21051449,0.21437821,0.3692144,0.19395703,0.011935847
2013,1059,694.9,707.002899839223,Native_Ensemble,0.24765119,0.3384661,0.28680012,0.11914631,0.007936242
2014,1059,892.7,769.6715310156931,V31_Solar_Gated,0.04179913,0.052897923,0.06392199,0.09639243,0.7449885
2015,1059,643.3,751.1480315097623,Robust_Linear,0.19318868,0.21925718,0.46305454,0.11683081,0.007668727
2016,1059,762.0,761.5970875184651,Robust_Linear,0.19893116,0.18247804,0.4482898,0.14969634,0.02060463
2017,1059,742.1,768.9677413327535,Statistical_Trend,0.3006126,0.10451616,0.27424547,0.30807716,0.012548555
2018,1059,761.5,761.1135390661092,Robust_Linear,0.24398145,0.16308697,0.33054122,0.24816415,0.014226163
2019,1059,833.7,789.2301801046391,Native_Ensemble,0.22201581,0.42906004,0.25314987,0.088854864,0.006919433
2020,1059,832.0,795.6740926469132,Native_Ensemble,0.31880823,0.40013993,0.06967406,0.20204106,0.009336675
2021,1059,819.2,795.4945489207137,Robust_Linear,0.22132131,0.214728,0.34737474,0.20025106,0.016324863
2022,1059,792.3,834.7319067535334,Native_Ensemble,0.33063212,0.36350524,0.18035248,0.115000136,0.010509972
2023,1059,818.6,813.1587887966168,Robust_Linear,0.3119315,0.16564225,0.36019644,0.14868034,0.013549404
2024,1059,722.7,829.0837325574374,Statistical_Trend,0.23146395,0.11591975,0.18912205,0.4523537,0.011140498
2000,1060,541.7,500.9865226132966,Statistical_Trend,0.06491901,0.008026649,0.09866162,0.82377887,0.0046138642
2001,1060,522.9,528.3516111890602,Robust_Linear,0.31040275,0.028723879,0.37086356,0.28026545,0.009744293
