district_no,year,kreisYield,name,predicted_yield_lower,predicted_yield_median,predicted_yield_upper,error,abs_error,is_outside_interval,outlier_magnitude
15086,2003,356.6,Jerichower Land,393.5327291870118,480.7817116165162,601.9324865722657,124.18171161651617,124.18171161651617,True,-36.93272918701177
09188,2015,560.9,Starnberg,563.2188436889649,685.073288192749,805.1618444824219,124.17328819274906,124.17328819274906,True,-2.3188436889648756
07333,2014,883.6,Donnersbergkreis,636.1231549072266,759.4930546569825,866.4874584960938,-124.10694534301751,124.10694534301751,True,17.112541503906186
05162,2014,880.2,Rhein-Kreis Neuss,633.2631549072265,756.1657046508789,863.6274584960937,-124.03429534912118,124.03429534912118,True,16.572541503906336
03460,2014,846.1,Vechta,590.4031549072266,722.3002801513672,820.7674584960938,-123.79971984863278,123.79971984863278,True,25.332541503906214
03357,2014,844.7,Rotenburg (Wümme),589.1031549072266,721.0002801513672,819.4674584960937,-123.69971984863287,123.69971984863287,True,25.232541503906305
14730,2007,660.8,Nordsachsen,425.45728546142584,537.1764054870606,643.4449182128907,-123.62359451293935,123.62359451293935,True,17.35508178710927
03359,2014,840.2,Stade,587.5831549072266,716.6064474487305,817.9474584960938,-123.59355255126957,123.59355255126957,True,22.252541503906286
16070,2003,389.2,Ilm-Kreis,425.4927291870117,512.667857170105,633.8924865722656,123.46785717010499,123.46785717010499,True,-36.29272918701173
09479,2005,641.8,Wunsiedel im Fichtelgebirge,371.5419897460937,518.5619673156738,624.1625952148437,-123.23803268432619,123.23803268432619,True,17.637404785156264
06433,2014,865.8,Groß-Gerau,615.3431549072266,742.8449554443359,845.7074584960938,-122.95504455566402,122.95504455566402,True,20.092541503906205
16074,2011,745.2,Saale-Holzland-Kreis,505.7203451538086,622.253052368164,727.2276007080078,-122.946947631836,122.946947631836,True,17.972399291992247
09678,2000,704.5,Schweinfurt,478.1757086181641,581.5645025634766,687.4667700195313,-122.9354974365234,122.9354974365234,True,17.033229980468718
09277,2003,503.3,Rottal-Inn,547.2327291870117,626.1574308776856,755.6324865722656,122.85743087768554,122.85743087768554,True,-43.93272918701172
06432,2014,866.5,Darmstadt-Dieburg,615.4831549072267,743.6987882995606,845.8474584960939,-122.80121170043935,122.80121170043935,True,20.65254150390615
05166,2011,820.0,Viersen,581.2203451538086,697.6043306732178,802.7276007080078,-122.39566932678224,122.39566932678224,True,17.2723992919922
05754,2011,746.1,Gütersloh,504.2003451538086,623.8789416503906,725.7076007080078,-122.2210583496094,122.2210583496094,True,20.392399291992206
07340,2000,650.0,Südwestpfalz,422.375708618164,527.7809019470214,631.6667700195312,-122.21909805297855,122.21909805297855,True,18.333229980468786
05978,2011,861.4,Unna,620.6003451538086,739.3601184082031,842.1076007080078,-122.03988159179687,122.03988159179687,True,19.292399291992183
08316,2003,515.4,Emmendingen,549.5927291870117,637.3559471130371,757.9924865722656,121.95594711303715,121.95594711303715,True,-34.192729187011764
05978,2010,823.2,Unna,586.201466064453,701.2542977142333,806.3023571777343,-121.94570228576674,121.94570228576674,True,16.897642822265766
08126,2017,915.5,Hohenlohekreis,651.0748590087891,793.6600564575195,899.600219116211,-121.83994354248046,121.83994354248046,True,15.899780883789049
09279,2014,934.4,Dingolfing-Landau,668.9631549072267,812.7590838623048,899.3274584960939,-121.64091613769517,121.64091613769517,True,35.07254150390611
09676,2017,893.4,Miltenberg,626.974859008789,771.7738664245605,875.5002191162109,-121.62613357543944,121.62613357543944,True,17.89978088378905
09161,2003,569.1,Ingolstadt,611.2927291870117,690.6271627426147,819.6924865722656,121.52716274261468,121.52716274261468,True,-42.19272918701165
09572,2003,433.4,Erlangen-Höchstadt,470.71272918701175,554.822258682251,679.1124865722657,121.42225868225103,121.42225868225103,True,-37.31272918701177
06535,2009,674.0,Vogelsbergkreis,445.1756277465821,552.6098986053468,663.945975341797,-121.39010139465324,121.39010139465324,True,10.054024658203048
09472,2008,618.8,Bayreuth,376.42574859619145,497.44110656738286,593.6514794921875,-121.3588934326171,121.3588934326171,True,25.148520507812464
03360,2014,842.4,Uelzen,586.4231549072265,721.1946621704101,816.7874584960937,-121.2053378295899,121.2053378295899,True,25.6125415039063
06431,2008,697.6,Bergstraße,455.6857485961914,576.6368479919433,672.9114794921875,-120.96315200805668,120.96315200805668,True,24.68852050781254
09279,2003,574.1,Dingolfing-Landau,615.2727291870117,694.8395712661743,823.6724865722656,120.73957126617427,120.73957126617427,True,-41.17272918701167
05762,2011,788.8,Höxter,551.2403451538087,668.0910989379884,772.7476007080079,-120.70890106201159,120.70890106201159,True,16.05239929199206
15001,2003,362.1,Dessau-Roßlau,395.65272918701174,482.64071956634524,604.0524865722657,120.54071956634522,120.54071956634522,True,-33.55272918701172
05758,2011,861.4,Herford,621.5003451538086,741.1789416503906,843.0076007080078,-120.2210583496094,120.2210583496094,True,18.392399291992206
08215,2014,861.2,Karlsruhe,601.2631549072264,741.185899658203,831.6274584960936,-120.01410034179708,120.01410034179708,True,29.57254150390645
06434,2017,921.1,Hochtaunuskreis,659.9148590087891,801.1419250488282,908.440219116211,-119.95807495117185,119.95807495117185,True,12.65978088378904
06440,2021,930.0,Wetteraukreis,653.2388259887696,810.5676109313965,927.9732696533204,-119.43238906860347,119.43238906860347,True,2.026730346679642
08126,2014,909.2,Hohenlohekreis,649.2031549072266,789.7971032714844,879.5674584960938,-119.40289672851566,119.40289672851566,True,29.632541503906282
06531,2017,910.6,Gießen,648.8948590087891,791.4298626708985,897.420219116211,-119.17013732910152,119.17013732910152,True,13.179780883789022
09263,2014,999.8,Straubing,737.0631549072266,880.8590838623047,967.4274584960938,-118.94091613769524,118.94091613769524,True,32.37254150390618
09676,2015,641.5,Miltenberg,642.408576965332,760.3482456207275,880.9218444824219,118.84824562072754,118.84824562072754,True,-0.9085769653320312
14524,2003,419.5,Zwickau,453.93272918701166,538.345779838562,662.3324865722656,118.84577983856195,118.84577983856195,True,-34.43272918701166
09377,2016,801.0,Tirschenreuth,528.0307931518555,682.3379067993164,775.0699395751953,-118.66209320068356,118.66209320068356,True,25.93006042480465
15082,2014,767.1,Anhalt-Bitterfeld,512.7631549072265,648.5380953979492,743.1274584960937,-118.56190460205084,118.56190460205084,True,23.972541503906314
03453,2014,849.6,Cloppenburg,603.5631549072266,731.8011157226563,833.9274584960938,-117.79888427734375,117.79888427734375,True,15.672541503906245
07338,2014,914.1,Rhein-Pfalz-Kreis,657.1031549072266,796.3120706176758,887.4674584960937,-117.78792938232425,117.78792938232425,True,26.632541503906282
09371,2003,498.0,Amberg-Sulzbach,530.3527291870117,615.7129119491577,738.7524865722656,117.71291194915773,117.71291194915773,True,-32.35272918701173
06435,2000,690.8,Main-Kinzig-Kreis,470.0757086181641,573.1276190185547,679.3667700195313,-117.67238098144526,117.67238098144526,True,11.433229980468695
09373,2016,801.0,Neumarkt in der Oberpfalz,532.3455877685547,683.5924024963379,781.6499395751953,-117.40759750366215,117.40759750366215,True,19.350060424804724
06633,2011,777.4,Kassel,544.9403451538085,659.9939225769042,766.4476007080077,-117.40607742309578,117.40607742309578,True,10.952399291992265
03459,2011,783.5,Osnabrück,546.4603451538087,666.1389416503907,767.9676007080079,-117.36105834960927,117.36105834960927,True,15.532399291992078
09573,2010,696.1,Fürth,470.9014660644532,578.846976928711,691.0023571777344,-117.25302307128902,117.25302307128902,True,5.097642822265584
09564,2003,437.6,Nürnberg,469.83272918701164,554.7587688827514,678.2324865722655,117.15876888275136,117.15876888275136,True,-32.232729187011614
15003,2007,644.1,Magdeburg,414.268914489746,527.0682270812988,633.6649182128906,-117.03177291870122,117.03177291870122,True,10.435081787109425
09176,2000,760.2,Eichstätt,538.735708618164,643.1992839813232,748.0267700195312,-117.00071601867683,117.00071601867683,True,12.173229980468818
15091,2007,592.9,Wittenberg,365.3372854614257,476.141057434082,583.3249182128906,-116.758942565918,116.758942565918,True,9.575081787109411
15090,2003,369.6,Stendal,397.77272918701175,486.2925780105591,606.1724865722656,116.69257801055909,116.69257801055909,True,-28.172729187011726
09263,2000,808.6,Straubing,582.915708618164,691.931593017578,792.2067700195312,-116.66840698242197,116.66840698242197,True,16.393229980468845
06411,2014,841.8,Darmstadt,596.9831549072265,725.1987882995605,827.3474584960937,-116.60121170043942,116.60121170043942,True,14.452541503906218
13071,2012,657.2,Mecklenburgische Seenplatte,416.7409048461915,540.9512186431886,650.2292242431641,-116.24878135681149,116.24878135681149,True,6.970775756835906
06435,2004,759.5,Main-Kinzig-Kreis,529.6927612304687,643.3215320587158,747.6690643310546,-116.17846794128423,116.17846794128423,True,11.830935668945358
06433,2011,767.4,Groß-Gerau,535.3003451538086,651.2679164123535,756.8076007080078,-116.13208358764643,116.13208358764643,True,10.592399291992137
09772,2011,864.8,Augsburg,632.5403451538086,748.7367868041993,854.0476007080078,-116.0632131958007,116.0632131958007,True,10.752399291992106
06440,2014,890.5,Wetteraukreis,646.1631549072265,774.6934550476074,876.5274584960937,-115.80654495239264,115.80654495239264,True,13.972541503906314
05962,2005,665.0,Märkischer Kreis,410.57276153564453,549.2769603729248,662.2225952148438,-115.7230396270752,115.7230396270752,True,2.77740478515625
06631,2000,605.8,Fulda,387.23570861816404,490.1224292755127,596.5267700195312,-115.67757072448728,115.67757072448728,True,9.273229980468727
16071,2011,776.9,Weimarer Land,544.2803451538086,661.4263317108155,765.7876007080079,-115.4736682891845,115.4736682891845,True,11.11239929199212
16070,2010,460.8,Ilm-Kreis,461.46146606445313,576.2406618499756,681.5623571777344,115.44066184997558,115.44066184997558,True,-0.6614660644531227
12063,2004,551.0,Havelland,327.9927612304688,435.68586311340334,545.9690643310547,-115.31413688659666,115.31413688659666,True,5.03093566894529
06533,2014,850.5,Limburg-Weilburg,608.1831549072266,735.369411315918,838.5474584960938,-115.130588684082,115.130588684082,True,11.952541503906218
12062,2014,775.8,Elbe-Elster,525.1631549072266,660.7025035095215,755.5274584960938,-115.09749649047842,115.09749649047842,True,20.272541503906155
03458,2011,724.2,Oldenburg,489.8403451538086,609.1108605957031,711.3476007080078,-115.08913940429693,115.08913940429693,True,12.852399291992242
06414,2000,690.8,Wiesbaden,473.23570861816404,576.0414813995361,682.5267700195312,-114.75851860046384,114.75851860046384,True,8.273229980468727
06434,2014,871.8,Hochtaunuskreis,628.9031549072266,757.1292901611329,859.2674584960938,-114.67070983886708,114.67070983886708,True,12.532541503906145
06411,2000,636.6,Darmstadt,416.75570861816414,521.963420791626,626.0467700195313,-114.63657920837397,114.63657920837397,True,10.5532299804687
