district_no,year,yield
3351,1992,45.6
3351,1993,50.26
3351,1994,46.39
3351,1995,48.93
3351,1996,50.02
3351,1997,49.45
3351,1998,49.64
3351,1999,53.53
3351,2000,54.21
3351,2001,52.4
3351,2002,49.42
3351,2003,56.59
3351,2004,57.52
3351,2005,57.37
3351,2006,54.96
3351,2007,62.21
3351,2008,60.94
3351,2009,70.29
3351,2010,61.42
3351,2011,74.55
3351,2012,70.68
3351,2013,63.19
3351,2014,86.22
3351,2015,75.67
3351,2016,81.17
3351,2017,81.07
3351,2018,69.04
3351,2019,65.67
3351,2020,74.43
3351,2021,77.86
3352,1979,39.74
3352,1980,36.74
3352,1981,40.02
3352,1982,40.1
3352,1983,31.47
3352,1984,39.77
3352,1985,42.51
3352,1986,40.91
3352,1987,40.04
3352,1988,41.11
3352,1989,39.01
3352,1990,39.65
3352,1991,38.3
3352,1992,39.63
3352,1993,44.85
3352,1994,42.54
3352,1995,41.92
3352,1996,45.03
3352,1997,46.28
3352,1999,49.7269096509203
3352,2001,51.39
3352,2002,48.44
3352,2010,61.26
3352,2011,73.6
3352,2012,71.31
3352,2013,64.53
3352,2014,85.16
3352,2015,76.7
3353,1979,38.43
3353,1980,38.77
3353,1981,43.76
3353,1982,38.81
3353,1983,30.66
3353,1984,41.68
3353,1985,42.61
3353,1986,43.4
3353,1987,39.14
3353,1988,41.14
3353,1989,42.27
3353,1990,46.88
3353,1991,42.79
3353,1992,40.85
3353,1993,52.37
3353,1994,44.95
3353,1995,44.84
3353,1996,45.84
3353,1997,48.8
3353,1998,49.59
3353,1999,50.53
3353,2000,52.44
