district_no,year,yield,precip_total_peak_growth,temp_mean_peak_growth,heat_stress_days_peak_growth,solar_rad_peak_growth,avg_elevation,avg_soil_pawc,pflanzliche_erzeugung_lag1,zuckerrben_lag1,dngemittel_lag1,pflanzenschutzmittel_lag1,saat_und_pflanzgut_lag1,energie_und_schmierstoffe_lag1,winter_temp_anomaly,winter_precip_anomaly
03351,2021,77.86,205.612,17.334488,0,13209849.0,63.23971096729696,45.982047716891806,100.0,100.0,100.0,100.025,100.025,100.0,-0.2899650878010789,-0.04380132341362364
03353,2018,65.77,93.78369,18.334238,10,16175608.0,47.83834153611925,52.692365997490334,93.1,96.7,94.2,99.3,96.425,101.7,-1.006068610173486,0.02290959037696827
03353,2019,68.87,207.13263,17.220142,6,14438346.0,47.83834153611925,52.692365997490334,102.7,95.4,96.925,99.125,98.025,109.125,0.6105509255291963,-0.22547374768207507
03353,2020,76.9,181.62317,17.1389,7,14543343.0,47.83834153611925,52.692365997490334,101.9,90.0,102.65,99.1,100.5,110.55,0.8575622071306839,0.21776202371340614
03353,2021,68.08,209.02528,17.138037,0,13448191.0,47.83834153611925,52.692365997490334,100.0,100.0,100.0,100.025,100.025,100.0,-0.2139035016904245,-0.05339161974806361
03354,2018,67.42,79.80937,19.074095,12,16698017.0,39.92315427805637,43.17562863257,93.1,96.7,94.2,99.3,96.425,101.7,-0.8927920914539982,0.08081628253099904
03354,2019,73.64,193.985,17.788877,9,14517991.0,39.92315427805637,43.17562863257,102.7,95.4,96.925,99.125,98.025,109.125,0.6267374310515947,-0.2888955723169615
03354,2020,76.04,178.51564,17.707804,5,14583107.0,39.92315427805637,43.17562863257,101.9,90.0,102.65,99.1,100.5,110.55,0.8564174984213082,0.2068651478096517
03354,2021,79.16,193.91814,17.557178,0,13331694.0,39.92315427805637,43.17562863257,100.0,100.0,100.0,100.025,100.025,100.0,-0.2740153247252124,-0.032782273406872564
03355,2018,68.11,84.74944,18.713203,12,16429867.0,38.40780862308837,48.089519521973926,93.1,96.7,94.2,99.3,96.425,101.7,-0.9745032587821925,0.04793598727053605
03355,2019,76.38,202.59334,17.502949,7,14421837.0,38.40780862308837,48.089519521973926,102.7,95.4,96.925,99.125,98.025,109.125,0.6536170305225824,-0.26630640010065887
03355,2020,75.45,177.94556,17.407482,5,14598347.0,38.40780862308837,48.089519521973926,101.9,90.0,102.65,99.1,100.5,110.55,0.87351624454584,0.23289549235760743
03355,2021,77.89,192.58221,17.385769,0,13376472.0,38.40780862308837,48.089519521973926,100.0,100.0,100.0,100.025,100.025,100.0,-0.27796812196106657,-0.029983872724273275
03357,2018,50.52,101.04769,18.303785,10,16221466.0,27.1948989674917,53.57489479719908,93.1,96.7,94.2,99.3,96.425,101.7,-0.9667944237288566,-0.04658577186367663
03357,2019,71.66,216.04422,17.298883,6,14539123.0,27.1948989674917,53.57489479719908,102.7,95.4,96.925,99.125,98.025,109.125,0.5547185779537358,-0.18866032294441037
03357,2020,68.88,194.70155,17.20049,7,14450413.0,27.1948989674917,53.57489479719908,101.9,90.0,102.65,99.1,100.5,110.55,0.7799724735871223,0.20629758616418847
03357,2021,86.33,229.06577,17.149925,0,13589427.0,27.1948989674917,53.57489479719908,100.0,100.0,100.0,100.025,100.025,100.0,-0.1849682104278827,-0.04983580246367958
