district_no,year,kreisYield,precip_total_peak_growth,temp_mean_peak_growth,heat_stress_days_peak_growth,solar_rad_peak_growth,avg_elevation,avg_soil_pawc,Crop,Field_ha,Harvested_t,Yield_dt/ha,national_campaign_start_day_of_year,national_campaign_end_day_of_year,national_campaign_duration,kreisField_ha,winter_temp_anomaly,winter_precip_anomaly
03154,2019,68.84,147.416259765625,17.858455657958984,9.0,15293446.0,120.71246267567484,47.3940791687049,Sugar beet,103400.0,7668800.0,741.7,258.5,15.0,-243.5,9596.947539979847,0.487621196460168,-0.2008508612190698
03154,2020,69.86,174.54873657226562,17.77446937561035,5.0,15217455.0,120.71246267567484,47.3940791687049,Sugar beet,99300.0,7861900.0,791.6,269.5,191.75,-77.75,8763.38806371477,0.899334356342365,0.09939287385997186
03154,2021,76.06,197.58624267578125,17.226381301879883,0.0,13657848.0,120.71246267567484,47.3940791687049,Sugar beet,97600.0,7966100.0,816.2,257.8,22.0,-235.8,9095.143336075542,-0.31262028548110266,-0.0137691494766361
03155,2017,88.15,365.5753173828125,15.893147468566896,0.0,13849223.0,231.4685232956745,58.19983547821087,Sugar beet,102600.0,8475800.0,826.2,254.0,24.5,-229.5,10946.732012894297,-2.0838705621605413,-0.5874979266979912
03155,2019,81.1,164.82704162597656,16.95047950744629,4.0,15158694.0,231.4685232956745,58.19983547821087,Sugar beet,103400.0,7668800.0,741.7,258.5,15.0,-243.5,11306.107575426577,0.3941412985306556,-0.0899554952804743
03155,2020,88.53,203.95411682128903,16.910268783569336,2.0,15023238.0,231.4685232956745,58.19983547821087,Sugar beet,99300.0,7861900.0,791.6,269.5,191.75,-77.75,11105.392861160444,0.7053372656772012,0.1493508159292718
03155,2021,85.12,250.4993896484375,16.34048080444336,0.0,13664557.0,231.4685232956745,58.19983547821087,Sugar beet,97600.0,7966100.0,816.2,257.8,22.0,-235.8,10178.524858884433,-0.3356571108065509,0.01571595641427659
03157,2017,84.09,332.9042663574219,16.695043563842773,0.0,13807135.0,73.38944065927016,45.43448187787549,Sugar beet,102600.0,8475800.0,826.2,254.0,24.5,-229.5,10442.549006968593,-2.181128137807889,-0.5634365659407152
03157,2019,69.48,146.1271514892578,18.085792541503903,9.0,15113266.0,73.38944065927016,45.43448187787549,Sugar beet,103400.0,7668800.0,741.7,258.5,15.0,-243.5,9686.169597295175,0.4636321807182071,-0.1784361555441255
03157,2020,79.48,178.73001098632812,17.91276741027832,5.0,15049345.0,73.38944065927016,45.43448187787549,Sugar beet,99300.0,7861900.0,791.6,269.5,191.75,-77.75,9970.141473003865,0.8297446089713958,0.14874974460718682
03157,2021,81.71,205.17713928222656,17.423786163330078,0.0,13645038.0,73.38944065927016,45.43448187787549,Sugar beet,97600.0,7966100.0,816.2,257.8,22.0,-235.8,9770.762056149519,-0.26702765071365775,-0.022876983021405506
03158,2017,82.78,337.0672607421875,16.52456283569336,0.0,13894535.0,130.02412529590924,49.33051719467714,Sugar beet,102600.0,8475800.0,826.2,254.0,24.5,-229.5,10279.869268603403,-2.25198975327811,-0.5548119196564052
03158,2019,77.95,154.05181884765625,17.777109146118164,9.0,15329231.0,130.02412529590924,49.33051719467714,Sugar beet,103400.0,7668800.0,741.7,258.5,15.0,-243.5,10866.967762077702,0.4019661343373855,-0.09909338153174807
03158,2020,74.97,194.00909423828125,17.689319610595703,5.0,15232778.0,130.02412529590924,49.33051719467714,Sugar beet,99300.0,7861900.0,791.6,269.5,191.75,-77.75,9404.39741106064,0.8787573097134214,0.11004843792340302
