year,district_no,mild_winter_days,fungal_risk_days,VegetationVigorIndex,RootZoneDepletion
2007,03102,46,12,0.176392351223991,0.06428597741803836
2008,03102,41,6,-0.034460381631461805,0.07006904791282341
2009,03102,16,0,-0.047661616546398694,0.1113698873708621
2010,03102,8,2,-0.1418669472412124,0.1682541902704759
2011,03102,23,3,-0.12448395947813551,0.07853142076502732
2012,03102,28,2,-0.0518783707045459,0.08348402023889583
2013,03102,19,1,-0.2494059250531387,0.17720114843525694
2014,03102,39,5,0.09066743897488241,0.05553224002549764
2015,03102,26,2,0.2436329859193982,0.17498769713200119
2016,03102,30,6,0.0372282584367412,0.07837974508174009
2017,03102,20,2,0.0390907444636766,0.09927304564471397
2018,03102,25,1,0.1961669990041528,0.08568447699530517
2019,03102,33,1,0.1192263526095016,0.1197259817939989
2020,03102,48,10,0.1496752228508341,0.10209689074170575
2021,03102,24,0,0.0263076889074071,0.060656595736478934
2022,03102,47,4,0.0531096238588837,0.1313016334360286
2023,03102,35,7,0.0742258412901798,0.11130645627327597
2024,03102,43,17,-0.0104575684874519,0.047350875601873225
1981,03103,11,0,,
1982,03103,15,1,,
1983,03103,28,2,,
1984,03103,23,0,,
1985,03103,7,0,,
1986,03103,10,0,,
1987,03103,10,0,,
1988,03103,33,3,,
1989,03103,37,2,,0.044615850717703354
1990,03103,46,4,,0.039506542384804784
1991,03103,21,2,,0.06765340846461466
1992,03103,30,1,,0.1685348474936626
1993,03103,26,3,,0.057729627805937725
1994,03103,32,1,,0.012433994087984698
1995,03103,34,5,,0.07840273303760159
1996,03103,5,0,,3.668712635776158
1997,03103,28,4,,0.09234013299907881
1998,03103,41,3,,0.13719243789026173
1999,03103,33,2,,0.08963017629069976
2000,03103,32,1,,0.15761598401149737
2001,03103,24,3,0.2577888322724242,0.12711873654611744
2002,03103,36,11,0.017195362497977297,0.06907062346619963
2003,03103,14,0,-0.1713774648159156,0.17097505310903144
2004,03103,25,3,0.0092279747882147,0.11200888614906902
2005,03103,25,1,0.0742352557298058,0.11922649889167629
2006,03103,10,0,-0.029366510636330303,0.24964726589275843
2007,03103,44,10,0.1786918073813079,0.07385124247894104
2008,03103,40,5,-0.009513528246323108,0.0957163205657218
2009,03103,12,0,0.043094061232688996,0.1386149064515338
2010,03103,7,2,-0.2328960509344159,0.1399118606912693
2011,03103,21,1,-0.19318137290574558,0.11531468040581706
2012,03103,28,3,-0.045416411632494796,0.11063079017364248
2013,03103,18,1,-0.2701726751057506,0.10529326343655301
2014,03103,35,5,0.11047404365422919,0.06963874066168624
2015,03103,25,2,0.2228118633323955,0.15776045419754697
2016,03103,26,6,-0.030104178712307698,0.08767962932868455
2017,03103,18,0,-0.014847686486892202,0.12005102731775266
2018,03103,23,1,0.2129765074245398,0.10482971642422757
2020,03103,48,11,0.1567821053357451,0.11399953615840012
2022,03103,48,4,0.0941271460393577,0.11472388592958296
2023,03103,35,5,0.067612807115008,0.12205939903599632
2024,03103,40,14,-0.10324781509513371,0.04302348540048694
1981,03151,11,0,,
1982,03151,15,1,,
1983,03151,26,2,,
1984,03151,22,0,,
1985,03151,7,0,,
1986,03151,10,0,,
1987,03151,7,0,,
1988,03151,32,3,,
1989,03151,36,2,,0.0703689435141964
1990,03151,45,3,,0.03372387395343908
1991,03151,22,2,,0.06541515224958766
1992,03151,31,1,,0.21192625836846016
1993,03151,25,3,,0.05126358425904041
1994,03151,30,2,,0.0028086731827884504
1995,03151,27,6,,0.0486732488364605
1996,03151,5,0,,3.27749801980198
1997,03151,25,3,,0.06930593306820025
1998,03151,43,3,,0.11024791177850775
1999,03151,31,3,,0.08949479152476184
2000,03151,33,1,,0.14178929694705228
2001,03151,25,3,0.1984747144862728,0.12436814179352944
2002,03151,35,11,0.0302226825226039,0.08021953322702534
2003,03151,13,0,-0.1536876230436595,0.2253986342496701
2004,03151,23,3,-0.0009843410835226,0.1228891427634366
2005,03151,24,1,0.0465258212857714,0.13349341853701496
2006,03151,10,0,-0.0297157820159015,0.334532383537893
2007,03151,43,11,0.15740370813453242,0.07605650782668857
2008,03151,38,5,-0.0018710643021143947,0.09106919657238578
2009,03151,14,0,0.0383674452904929,0.14965365186316457
2010,03151,5,1,-0.2000828387332679,0.24553692592633672
2011,03151,20,1,-0.2105094842902936,0.12452869463267294
2012,03151,27,4,-0.0340764343696303,0.07219258801130231
2013,03151,16,1,-0.2010938382499685,0.12447308783761224
2014,03151,35,5,0.09338582068307151,0.07052099692070823
2015,03151,28,2,0.2218403454882889,0.1656031430354079
2016,03151,26,6,0.012491666552427,0.07508010265183919
2017,03151,15,0,0.0022946211365392974,0.10865435381165496
2018,03151,21,1,0.1829183107182304,0.0957864165784299
2019,03151,29,1,0.1448857772760966,0.1522262732666829
2020,03151,47,9,0.1296190361386873,0.09406012969410264
2021,03151,22,1,0.029038878832865295,0.06029606049848661
2022,03151,46,4,0.1046190928163894,0.10327964359150102
2023,03151,35,4,0.0386521416797022,0.14072319121231347
2024,03151,39,9,-0.114519656953613,0.04382644797007067
1981,03153,5,0,,
1982,03153,10,0,,
1983,03153,21,2,,
1984,03153,8,0,,
1985,03153,6,0,,
1986,03153,9,0,,
1987,03153,4,0,,
1988,03153,25,1,,
1989,03153,24,1,,0.003725782414307004
1990,03153,40,2,,0.0032031570315703157
1991,03153,15,1,,0.006562648685009269
1992,03153,25,0,,0.03716690117414729
1993,03153,15,0,,0.009680307833789115
1994,03153,20,0,,0.0038941492354811515
1995,03153,25,1,,0.003606774966096316
1996,03153,2,0,,1.0
1997,03153,19,1,,0.005432420686657975
1998,03153,38,0,,0.11085313371742575
1999,03153,23,1,,0.011425698681474371
2000,03153,23,1,,0.06896978884028278
2001,03153,21,0,0.2003302370587515,0.032898655641125735
2002,03153,29,3,0.0004337474044748008,0.004616933063704443
2003,03153,11,0,-0.19672387116529838,0.01676221127091086
2004,03153,15,2,-0.05075695346932339,0.045444942086141846
2005,03153,16,0,0.0158685898508991,0.007080523250668223
2006,03153,8,0,0.0018393163637214997,0.0923605490877498
2007,03153,38,3,0.17961469421937598,0.009766870357774451
2008,03153,32,2,-0.0443050901772543,0.019454904987897155
2009,03153,7,0,-0.1147544028525348,0.01599992341432848
2010,03153,5,0,-0.1099967930733374,0.006986533456762091
2011,03153,14,0,-0.136924698749272,0.007362824859929447
2012,03153,23,2,0.0093241067014047,0.010674523115679808
2013,03153,14,0,-0.2284510057823132,0.008203108978302776
2014,03153,31,1,0.1145344699366504,0.004139227040742412
2015,03153,11,1,0.2521035553979441,0.06285965803749227
2016,03153,24,0,0.060552372844184604,0.00472304088264188
2017,03153,9,1,0.0275894952952916,0.005062394006125497
2018,03153,16,0,0.1849586517792637,0.006259780907668232
2019,03153,22,0,0.1286770928667705,0.008426303549159055
2020,03153,40,3,0.19739905561474289,0.06446737483464944
2021,03153,17,0,0.0005054832879691981,0.008447143003996247
2022,03153,32,2,0.0209550095555142,0.05952929457335665
2023,03153,31,2,0.09481575402856529,0.0610255459702823
2024,03153,34,3,-0.0475618169361907,0.031649911463116395
1981,03155,5,0,,
1982,03155,12,0,,
1983,03155,22,2,,
1984,03155,12,0,,
1985,03155,5,0,,
1986,03155,9,0,,
1987,03155,5,0,,
1988,03155,29,1,,
1989,03155,29,2,,0.019828515523839664
1990,03155,41,2,,0.00303403310332722
1991,03155,16,1,,0.05201519620840514
1992,03155,23,0,,0.14048127205283634
1993,03155,20,2,,0.10479072287268576
1994,03155,23,1,,0.0036174411306673995
1995,03155,27,1,,0.0530118337795084
1996,03155,5,0,,9.84169
1997,03155,20,2,,0.050253976736489875
1998,03155,37,2,,0.12298222128450069
1999,03155,26,2,,0.06459483085079526
2000,03155,28,1,,0.15944945037605848
2001,03155,24,3,0.20547535298813172,0.12485555759967888
2002,03155,29,6,-0.0513732978550111,0.04441036961787919
2003,03155,12,0,-0.17981297143141,0.12308437622380003
2004,03155,20,4,-0.06617525812865781,0.06973443282609311
2005,03155,20,1,-0.0170474331047465,0.08055647193585339
2006,03155,8,0,-0.10814613106812919,0.15209158324063773
2007,03155,40,7,0.2204985608338343,0.03858508891928865
2008,03155,33,3,-0.0447449946561584,0.05124790130886114
2009,03155,9,0,-0.020020863090567803,0.0845815419179378
2010,03155,6,1,-0.1269111667928775,0.13831689697613922
2011,03155,18,2,-0.13249107845203278,0.05924801927162459
2012,03155,24,2,0.0448431582895224,0.06168584013553058
2013,03155,16,1,-0.1551625130731517,0.10265367855429652
2014,03155,38,3,0.095622001323026,0.04314754129612155
2015,03155,17,1,0.2330933592015537,0.12979520679542925
2016,03155,26,4,0.09282055740064239,0.042121685240748684
2017,03155,12,1,-0.0017006874372400976,0.05363954890804402
2018,03155,18,0,0.15878746597116272,0.07399899073949805
2019,03155,23,1,0.2199605155726394,0.04577142693853376
2020,03155,40,7,0.1817854154714473,0.0943784090473986
2021,03155,20,0,0.0238193559692663,0.0413947228393538
2022,03155,36,4,0.042959545490151005,0.12948744577790627
2023,03155,32,4,0.04621666226433651,0.07848332627246869
2024,03155,37,7,-0.071460055685731,0.0352921697474028
1981,03157,12,0,,
1982,03157,19,1,,
1983,03157,29,2,,
1984,03157,23,0,,
1985,03157,9,0,,
1986,03157,10,0,,
1987,03157,11,0,,
1988,03157,37,3,,
1989,03157,38,2,,0.047406733272782324
1990,03157,48,6,,0.03132267430178822
1991,03157,21,3,,0.06676143035801345
1992,03157,33,1,,0.15587419777846345
1993,03157,26,4,,0.06735865313285928
1994,03157,33,1,,0.009279215751067053
1995,03157,33,7,,0.07330064264466521
1996,03157,5,0,,3.6677179693795328
1997,03157,29,4,,0.085913170838343
1998,03157,41,5,,0.12902297391458578
1999,03157,33,3,,0.08250095782994049
2000,03157,35,2,,0.1453910428398738
2001,03157,24,4,0.1995773012489662,0.12794698158983875
2002,03157,37,11,0.006837293163052401,0.07585116279069766
2003,03157,14,0,-0.1235538903516878,0.16051187931132774
2004,03157,27,3,-0.03441316483182939,0.11182812031577896
2005,03157,27,1,0.0471350672543508,0.12849373149970178
2006,03157,10,0,-0.0154885119382029,0.22827802240852466
2007,03157,44,12,0.1517181361573241,0.07148516533139111
2008,03157,42,6,-0.0451836105803967,0.08883949827438517
2009,03157,15,0,-0.011682532086978798,0.13792346900008207
2010,03157,8,2,-0.20533010191081114,0.12472111812673956
2011,03157,22,4,-0.1290482060960188,0.11723215282268423
2012,03157,28,3,-0.033496833841011195,0.09950850888961406
2013,03157,20,2,-0.1996423240487043,0.09619048756090477
2014,03157,38,4,0.06906583056108831,0.06886531112199902
2015,03157,30,2,0.2118864452609185,0.17115684259928712
2016,03157,29,6,0.053921830775938595,0.08773689884624171
2017,03157,21,2,0.0275334427776254,0.11646589056160177
2018,03157,23,1,0.1940518701439511,0.09617432428387561
2019,03157,29,2,0.1335909883919455,0.12448716659576387
2020,03157,48,11,0.1383685235637061,0.11341231516342008
